Security name,Weight
Singapore Telecommunications,0.0111
Swisscom Ag-Reg,0.010700000000000001
Coca-Cola Co/The,0.0103
Johnson & Johnson,0.0101
Secom Co Ltd,0.0096
Otsuka Holdings Co Ltd,0.0092
Novartis Ag-Reg,0.0091
Pepsico Inc,0.0091
Mondelez International Inc-A,0.0089
Sgs Sa-Reg,0.0088
Unilever Plc,0.0088
Cgi Inc,0.0087
Procter & Gamble Co/The,0.0087
Roche Holding Ag-Genusschein,0.0085
Nestle Sa-Reg,0.0085
Kerry Group Plc-A,0.0084
Relx Plc,0.0083
Obic Co Ltd,0.0083
Walmart Inc,0.008199999999999999
Hershey Co/The,0.008100000000000001
Thomson Reuters Corp,0.008
Air Liquide Sa,0.0079
Abbvie Inc,0.0078000000000000005
Kimberly-Clark Corp,0.0078000000000000005
Chugai Pharmaceutical Co Ltd,0.0078000000000000005
Wolters Kluwer,0.0078000000000000005
Kao Corp,0.0078000000000000005
Yakult Honsha Co Ltd,0.0077
Barry Callebaut Ag-Reg,0.0075
Wesfarmers Ltd,0.0074
Sanofi,0.0074
Dollarama Inc,0.0074
Canadian Natl Railway Co,0.0074
Chocoladefabriken Lindt-Pc,0.0073
Gsk Plc,0.0073
Hologic Inc,0.0073
Uss Co Ltd,0.0073
Abbott Laboratories,0.0073
Sap Se,0.0072
Trend Micro Inc,0.0072
Daito Trust Construct Co Ltd,0.0072
Cintas Corp,0.0072
Compass Group Plc,0.0072
Illinois Tool Works,0.0070999999999999995
Intertek Group Plc,0.0070999999999999995
Cencora Inc,0.0070999999999999995
Avalonbay Communities Inc,0.0070999999999999995
Motorola Solutions Inc,0.006999999999999999
S&P Global Inc,0.006999999999999999
Roper Technologies Inc,0.006999999999999999
Beiersdorf Ag,0.006999999999999999
Mid-America Apartment Comm,0.006999999999999999
Equity Residential,0.006999999999999999
Kyocera Corp,0.0068000000000000005
Reckitt Benckiser Group Plc,0.0068000000000000005
Cisco Systems Inc,0.0068000000000000005
Linde Plc,0.0068000000000000005
Qiagen N.V.,0.0068000000000000005
Labcorp Holdings Inc,0.0067
Factset Research Systems Inc,0.0067
Givaudan-Reg,0.0067
Church & Dwight Co Inc,0.0067
Symrise Ag,0.0066
Fastenal Co,0.006500000000000001
Visa Inc-Class A Shares,0.006500000000000001
Schindler Holding-Part Cert,0.0064
Nvr Inc,0.0064
Accenture Plc-Cl A,0.0064
Unicharm Corp,0.0064
Ferrari Nv,0.0063
Merck & Co. Inc.,0.0063
Monster Beverage Corp,0.0063
Hirose Electric Co Ltd,0.0063
Zozo Inc,0.0063
Home Depot Inc,0.0063
Alcon Inc,0.0062
Ono Pharmaceutical Co Ltd,0.0062
Rightmove Plc,0.0062
Mastercard Inc - A,0.0062
Cognizant Tech Solutions-A,0.0062
Moody's Corp,0.0062
Industria De Diseno Textil,0.0062
Ww Grainger Inc,0.0062
Tjx Companies Inc,0.0062
Weyerhaeuser Co,0.0062
Kone Oyj-B,0.006
Abb Ltd-Reg,0.006
Geberit Ag-Reg,0.006
Sage Group Plc/The,0.006
Prologis Inc,0.006
Brenntag Se,0.0059
Genuine Parts Co,0.0059
Auto Trader Group Plc,0.0058
Novonesis (Novozymes) B,0.0058
Amphenol Corp-Cl A,0.005699999999999999
Garmin Ltd,0.005699999999999999
Bridgestone Corp,0.005699999999999999
Wheaton Precious Metals Corp,0.005699999999999999
Ecolab Inc,0.005699999999999999
Nitto Denko Corp,0.005699999999999999
Emerson Electric Co,0.005600000000000001
Corteva Inc,0.0055000000000000005
Expeditors Intl Wash Inc,0.0055000000000000005
Informa Plc,0.0055000000000000005
Amadeus It Group Sa,0.0054
Equinix Inc,0.0054
Gartner Inc,0.0054
Goodman Group,0.0054
Samsung Electronics Co Ltd,0.0054
Te Connectivity Ltd,0.0053
Apple Inc,0.0053
Vulcan Materials Co,0.0052
Exxon Mobil Corp,0.0052
L'oreal,0.0052
Upm-Kymmene Oyj,0.0051
Dupont De Nemours Inc,0.0051
Chevron Corp,0.0051
Ryanair Holdings Plc-Sp Adr,0.0051
Microsoft Corp,0.005
Barratt Developments Plc,0.005
Shin-Etsu Chemical Co Ltd,0.005
Cochlear Ltd,0.005
Croda International Plc,0.005
Martin Marietta Materials,0.005
Bhp Group Ltd,0.0049
Trelleborg Ab-B Shs,0.004699999999999999
Rio Tinto Plc,0.004699999999999999
Imperial Oil Ltd,0.004699999999999999
Bluescope Steel Ltd,0.004699999999999999
Genmab A/S,0.004699999999999999
Hermes International,0.0046
Novo Nordisk A/S-B,0.0046
Ulta Beauty Inc,0.0046
Canadian Natural Resources,0.0044
